name,Stark_set,exclude,reason_exclude,,
/Set C/001a.jpg,C,0,NaN,,
/Set C/002a.jpg,C,0,NaN,,
/Set C/003a.jpg,C,0,NaN,,
/Set C/004a.jpg,C,0,NaN,,
/Set C/005a.jpg,C,0,NaN,,
/Set C/006a.jpg,C,1,word,,
/Set C/007a.jpg,C,0,NaN,,
/Set C/008a.jpg,C,0,NaN,,
/Set C/009a.jpg,C,0,NaN,,
/Set C/010a.jpg,C,0,NaN,,
/Set C/011a.jpg,C,0,NaN,,
/Set C/012a.jpg,C,0,NaN,,
/Set C/013a.jpg,C,0,NaN,,
/Set C/014a.jpg,C,1,word,,
/Set C/015a.jpg,C,0,NaN,,
/Set C/016a.jpg,C,0,NaN,,
/Set C/017a.jpg,C,1,hard-to-understand,,
/Set C/018a.jpg,C,0,NaN,,
/Set C/019a.jpg,C,0,NaN,,
/Set C/020a.jpg,C,1,animal,,
/Set C/021a.jpg,C,1,animal,,
/Set C/022a.jpg,C,0,NaN,,
/Set C/023a.jpg,C,0,NaN,,
/Set C/024a.jpg,C,0,NaN,,
/Set C/025a.jpg,C,0,NaN,,
/Set C/026a.jpg,C,0,NaN,,
/Set C/027a.jpg,C,0,NaN,,
/Set C/028a.jpg,C,0,NaN,,
/Set C/029a.jpg,C,0,NaN,,
/Set C/030a.jpg,C,0,NaN,,
/Set C/031a.jpg,C,0,NaN,,
/Set C/032a.jpg,C,0,NaN,,
/Set C/033a.jpg,C,0,NaN,,
/Set C/034a.jpg,C,0,NaN,,
/Set C/035a.jpg,C,0,NaN,,
/Set C/036a.jpg,C,1,word,,
/Set C/037a.jpg,C,0,NaN,,
/Set C/038a.jpg,C,0,NaN,,
/Set C/039a.jpg,C,0,NaN,,
/Set C/040a.jpg,C,1,animal,,
/Set C/041a.jpg,C,0,NaN,,
/Set C/042a.jpg,C,0,NaN,,
/Set C/043a.jpg,C,0,NaN,,
/Set C/044a.jpg,C,0,NaN,,
/Set C/045a.jpg,C,1,hard-to-understand,,
/Set C/046a.jpg,C,0,NaN,,
/Set C/047a.jpg,C,0,NaN,,
/Set C/048a.jpg,C,1,hard-to-understand,,
/Set C/049a.jpg,C,1,word,,
/Set C/050a.jpg,C,0,NaN,,
/Set C/051a.jpg,C,1,hard-to-understand,,?
/Set C/052a.jpg,C,0,NaN,,
/Set C/053a.jpg,C,0,NaN,,
/Set C/054a.jpg,C,0,NaN,,
/Set C/055a.jpg,C,0,NaN,,
/Set C/056a.jpg,C,1,hard-to-understand,,
/Set C/057a.jpg,C,0,NaN,,
/Set C/058a.jpg,C,0,NaN,,
/Set C/059a.jpg,C,0,NaN,,
/Set C/060a.jpg,C,0,NaN,,
/Set C/061a.jpg,C,1,hard-to-understand,,
/Set C/062a.jpg,C,0,NaN,,
/Set C/063a.jpg,C,0,NaN,,
/Set C/064a.jpg,C,1,animal,,
/Set C/065a.jpg,C,0,NaN,,
/Set C/066a.jpg,C,1,word,,
/Set C/067a.jpg,C,1,word,,
/Set C/068a.jpg,C,0,NaN,,
/Set C/069a.jpg,C,0,NaN,,
/Set C/070a.jpg,C,0,NaN,,
